Lee Don, Cumberlands (LB), lb, [2002, 2002]
Lee Don, Belhaven (AC), hc, [2003, 2005]
Lee Don, Belhaven, hc, [2006, 2008]
Lee Don, Olivet Nazarene, hc, [2009, 2010]
Lee Don, Concordia (AL) (AC), hc, [2011, 2011]
Lee Don, Concordia (AL) (DC), dc, [2012, 2012]
Lee Don, Concordia (AL), hc, [2012, 2014]
Lee Don, Virginia University of Lynchburg, hc, [2014, -1]
Leiker Jeff, Garden City CC, hc, [1992, 1995]
Leiker Jeff, Tennessee (GA), hc, [1996, 1996]
Leiker Jeff, Missouri Western (assistant), hc, [1997, 1997]
Leiker Jeff, Fort Hays State, hc, [1998, 2000]
Leiker Jeff, Coffeyville CC, hc, [2001, 2007]
Leipold Lance, WisconsinWhitewater (QB), qb, [1987, 1987]
Leipold Lance, WisconsinWhitewater (WR), wr, [1988, 1988]
Leipold Lance, Doane (assistant), ga, [1989, 1989]
Leipold Lance, WIWhitewater (assistant), ga, [1990, 1990]
Leipold Lance, Wisconsin (GA), ga, [1991, 1993]
Leipold Lance, NebraskaOmaha (assistant), ga, [1994, 2000]
Leipold Lance, Nebraska (assistant), ga, [2001, 2003]
Leipold Lance, NebraskaOmaha (AHC/OC), hc, [2004, 2006]
Leipold Lance, WisconsinWhitewater, hc, [2007, -1]
Lembo Pete, Albany (GA), ga, [1992, 1993]
Lembo Pete, Dartmouth (assistant), ga, [1994, 1996]
Lembo Pete, HampdenSydney (assistant), ga, [1997, 1997]
Lembo Pete, Lehigh (assistant), ga, [1998, 2000]
Lembo Pete, Lehigh, hc, [2001, 2005]
Lembo Pete, Elon, hc, [2006, 2010]
Lembo Pete, Ball State, hc, [2011, -1]
Lemon Theo D., Kentucky State, hc, [1984, 1984]
Lemon Theo D., Central State (assistant), hc, [1985, 1990]
Lemon Theo D., Northeastern (DC), hc, [1991, 1992]
Lemon Theo D., East Carolina (DL), hc, [1993, 1993]
Lemon Theo D., Rutgers (LB), hc, [1994, 1995]
Lemon Theo D., Wake Forest (assistant), hc, [1996, 2000]
Lemon Theo D., College of DuPage, hc, [2001, 2004]
Lemon Theo D., Central State, hc, [2003, 2006]
Lemon Theo D., Savannah State, hc, [2006, 2007]
Lennon Dale, Northern State (GA), ga, [1985, 1985]
Lennon Dale, Valley City State (assistant), ga, [1986, 1986]
Lennon Dale, Dickinson State (assistant), ga, [1987, 1987]
Lennon Dale, North Dakota (DL), dl, [1988, 1989]
Lennon Dale, North Dakota (DC), dc, [1990, 1996]
Lennon Dale, Mary, hc, [1997, 1998]
Lennon Dale, North Dakota, hc, [1999, 2007]
Lennon Dale, Southern Illinois, hc, [2008, -1]
Levine Tony, Highland Park HS (MN) (freshman), hc, [1996, 1996]
Levine Tony, Texas State (WR/TE), wr, [1997, 1999]
Levine Tony, Auburn (GA), ga, [2000, 2001]
Levine Tony, Louisiana Tech (ST/TE), st, [2002, 2002]
Levine Tony, Louisville (football ops), hc, [2003, 2003]
Levine Tony, Louisville (ST/OLB), st, [2004, 2005]
Levine Tony, Carolina Panthers (asst. S&C/asst. ST), hc, [2006, 2007]
Levine Tony, Houston (ST/TE/outside WR), st, [2008, 2011]
Levine Tony, Houston, hc, [2011, -1]
Lewis Bill, East Stroudsburg (QB/WR/DB), qb, [1963, 1965]
Lewis Bill, Pittsburgh (DB), db, [1966, 1968]
Lewis Bill, Wake Forest (DB), db, [1969, 1970]
Lewis Bill, Georgia Tech (DB), db, [1971, 1972]
Lewis Bill, Arkansas (DB), db, [1974, 1976]
Lewis Bill, Wyoming, hc, [1977, 1979]
Lewis Bill, Georgia (DB), db, [1980, 1980]
Lewis Bill, Georgia (DC/DB), dc, [1981, 1988]
Lewis Bill, East Carolina, hc, [1989, 1991]
Lewis Bill, Georgia Tech, hc, [1992, 1994]
Lewis Bill, Miami Dolphins (nickel package), hc, [1996, 2004]
Lewis Bill, Notre Dame (AHC/DB), hc, [2005, 2007]
Lewis Larry, Weber State (OLB), ol, [1981, 1985]
Lewis Larry, Weber State (DL), dl, [1986, 1988]
Lewis Larry, Washington State (DE), dl, [1989, 1994]
Lewis Larry, Washington State (AHC/ST), hc, [1995, 1998]
Lewis Larry, Idaho State, hc, [1999, 2006]
Lewis Larry, Colorado State (ST/S), st, [2008, 2010]
Lewis Larry, Colorado State (AHC/ST/RB), hc, [2011, 2011]
Lewis Larry, Nevada (ST/RB), st, [2012, 2013]
Lewis Larry, Virginia (ST/RB), st, [2013, -1]
Lewis Monty, Friends, hc, [2003, 2003]
Lewis Monty, West Texas A&M asst, hc, [2002, 2002]
Lewis Monty, Southwestern, hc, [1993, 2001]
Lewis Monty, Kentucky asst, hc, [1992, 1992]
Lewis Monty, Colorado State asst, hc, [1991, 1991]
Lewis Monty, MacMurray asst, hc, [1989, 1990]
Lewis Monty, Northeastern Oklahoma asst, hc, [1987, 1988]
Lewis Monty, Fort Hays asst, hc, [1986, 1986]
Lewis Monty, Southwestern asst, hc, [1985, -1]
Lichtenberg Tom, Iowa State (OC), oc, [1974, 1978]
Lichtenberg Tom, Morehead State, hc, [1979, 1980]
Lichtenberg Tom, Notre Dame (OC/QB/WR), oc, [1981, 1982]
Lichtenberg Tom, Ohio State (QB/WR), qb, [1986, 1987]
Lichtenberg Tom, Northern Iowa (assistant), ga, [1988, 1988]
Lichtenberg Tom, Maine, hc, [1989, 1989]
Lichtenberg Tom, Ohio, hc, [1990, 1994]
Lichtenberg Tom, Bowling Green (OC), oc, [2000, 2000]
Lichtenberg Tom, Drake (assistant), ga, [2007, 2009]
Liljegren Mike, North Park, hc, [1995, 2000]
Lindsey Dale, Cleveland Browns (1974), hc, [1974, 1974]
Lindsey Dale, (Linebackers coach), lb, [-1, -1]
Lindsey Dale, Portland Storm (1975), hc, [1975, 1975]
Lindsey Dale, (Defensive coordinator), dc, [-1, -1]
Lindsey Dale, Warren Central High School (19771978), hc, [1977, 1978]
Lindsey Dale, (Head coach), hc, [-1, -1]
Lindsey Dale, Toronto Argonauts (19791980), hc, [1979, 1980]
Lindsey Dale, (Linebackers coach), lb, [-1, -1]
Lindsey Dale, Toronto Argonauts (19811982), hc, [1981, 1982]
Lindsey Dale, (Defensive coordinator), dc, [-1, -1]
Lindsey Dale, Boston Breakers (1983), hc, [1983, 1983]
Lindsey Dale, (Linebackers coach), lb, [-1, -1]
Lindsey Dale, New Jersey Generals (19841985), hc, [1984, 1985]
Lindsey Dale, (Defensive coordinator/Linebackers coach), dc, [-1, -1]
Lindsey Dale, Green Bay Packers (19861987), hc, [1986, 1987]
Lindsey Dale, (Linebackers coach), lb, [-1, -1]
Lindsey Dale, Southern Methodist University (1988-1989), hc, [1988, 1989]
Lindsey Dale, (Defensive coordinator), dc, [-1, -1]
Lindsey Dale, New England Patriots (1990), hc, [1990, -1]
Lindsey Dale, (Defensive line coach), dl, [-1, -1]
Lindsey Dale, Tampa Bay Buccaneers (1991), hc, [1991, -1]
Lindsey Dale, (Linebackers coach), lb, [-1, -1]
Lindsey Dale, San Diego Chargers (19921996), hc, [1992, 1996]
Lindsey Dale, (Linebackers coach), lb, [-1, -1]
