Helton Kim, Los Angeles Raiders (OL), ol, [1990, 1992]
Helton Kim, Houston, hc, [1993, 1999]
Helton Kim, Washington Redskins (OL), ol, [2002, 2003]
Helton Kim, Toronto Argonauts (RB), rb, [2004, 2006]
Helton Kim, UAB (OC), oc, [2007, -1]
Hendrickson Mark, Georgia Tech (RB/WR), rb, [1983, 1986]
Hendrickson Mark, Georgia Tech (LC/ST), hc, [1987, 1989]
Hendrickson Mark, Georgia Tech (TE), hc, [1990, 1991]
Hendrickson Mark, Iowa (Assistant), ga, [1992, 1992]
Hendrickson Mark, Southeast Missouri State (OC), oc, [1993, 1993]
Hendrickson Mark, Iowa (ST), st, [1994, 1998]
Hendrickson Mark, Western Illinois (OC), oc, [1999, 2007]
Hendrickson Mark, Western Illinois, hc, [2008, 2012]
Hennigan Mike, Interceptions, hc, [-1, -1]
Hennigan Mike, 3, hc, [-1, -1]
Henning Dan, Florida State (assistant), ga, [1968, 1970]
Henning Dan, Virginia Tech (assistant), ga, [1971, 1971]
Henning Dan, Houston Oilers (assistant), ga, [1972, 1972]
Henning Dan, Virginia Tech (assistant), ga, [1973, 1973]
Henning Dan, Florida State (assistant), ga, [1974, 1974]
Henning Dan, New York Jets (WR), wr, [1976, 1978]
Henning Dan, Miami Dolphins (QB/WR), qb, [1979, 1980]
Henning Dan, Washington Redskins (OC), oc, [1981, 1982]
Henning Dan, Atlanta Falcons, hc, [1983, 1986]
Henning Dan, Washington Redskins (OC), oc, [1987, 1988]
Henning Dan, San Diego Chargers, hc, [1989, 1991]
Henning Dan, Detroit Lions (OC), oc, [1992, 1993]
Henning Dan, Boston College, hc, [1994, 1996]
Henning Dan, Buffalo Bills (OC), oc, [1997, 1997]
Henning Dan, New York Jets (QB), qb, [1998, 1999]
Henning Dan, New York Jets (OC), oc, [2000, 2000]
Henning Dan, Carolina Panthers (OC), oc, [2002, 2006]
Henning Dan, Miami Dolphins (OC), oc, [2008, 2010]
Henshaw George, West Virginia (GA), ga, [1970, 1971]
Henshaw George, West Virginia (JV), hc, [1972, 1972]
Henshaw George, West Virginia (DL), dl, [1973, 1975]
Henshaw George, Florida State (DL), dl, [1976, 1978]
Henshaw George, Florida State (OC/OL), oc, [1979, 1982]
Henshaw George, Alabama (OC/OL), oc, [1983, 1986]
Henshaw George, Tulsa, hc, [1987, 1987]
Henshaw George, Denver Broncos (OL), ol, [1988, 1990]
Henshaw George, Denver Broncos (WR), wr, [1991, 1991]
Henshaw George, Denver Broncos (OC/WR), oc, [1992, 1992]
Henshaw George, New York Giants (OC/QB), oc, [1993, 1994]
Henshaw George, New York Giants (OC), oc, [1995, 1996]
Henshaw George, Tennessee Oilers (OL/TE), ol, [1997, 1998]
Henshaw George, Tennessee Titans (AHC), hc, [1999, 2005]
Henshaw George, New Orleans Saints (SA/RB), hc, [2006, 2007]
Henshaw George, Tennessee Titans (TE), hc, [2013, -1]
Herman Tom, Texas Lutheran University (WR), wr, [1998, 1998]
Herman Tom, University of Texas (Graduate Assistant), ga, [1999, 2000]
Herman Tom, Sam Houston State (WR), wr, [2001, 2004]
Herman Tom, Texas State (Offensive Coordinator), oc, [2005, 2006]
Herman Tom, Rice University (Offensive Coordinator/QBs), oc, [2007, 2008]
Herman Tom, Iowa State (Offensive Coordinator/QBs), oc, [2009, 2011]
Herman Tom, Ohio State (Offensive Coordinator/QBs), oc, [2012, -1]
Herring Reggie, Oklahoma State (GA), ga, [1981, 1981]
Herring Reggie, Oklahoma State (LB), lb, [1982, 1985]
Herring Reggie, Auburn (LB), lb, [1986, 1991]
Herring Reggie, TCU (DC/LB), dc, [1992, 1993]
Herring Reggie, Clemson (LB), lb, [1994, 1996]
Herring Reggie, Clemson (DC/LB), dc, [1997, 2001]
Herring Reggie, Houston Texans (LB), lb, [2002, 2003]
Herring Reggie, NC State (DC/LB), dc, [2004, 2004]
Herring Reggie, Arkansas (DC/LB), dc, [2005, 2007]
Herring Reggie, Arkansas (Interim HC), hc, [2007, 2007]
Herring Reggie, Dallas Cowboys (LB), lb, [2008, 2010]
Herring Reggie, Houston Texans (LB), lb, [2011, 2013]
Herring Reggie, Chicago Bears (LB), lb, [2014, -1]
Hess Jim, Angelo State, hc, [1974, 1981]
Hess Jim, Stephen F. Austin, hc, [1982, 1988]
Hess Jim, New Mexico State, hc, [1990, 1996]
Hickman Todd, Apollo HS (MN) (assistant), ga, [1988, 1988]
Hickman Todd, MinnesotaMorris (assistant), ga, [1989, 1990]
Hickman Todd, NebraskaKearney (GA), ga, [1991, 1991]
Hickman Todd, MinnesotaMorris (assistant), ga, [1992, 1993]
