"num_seasons","school","source","target","weight"
"4","florida a&m","2376","3030","0.16666666666666666"
"8","air force","2376","2698","0.3333333333333333"
"2","temple","690","6547","0.043478260869565216"
"1","hofstra","690","2221","0.021739130434782608"
"1","rutgers","690","2056","0.021739130434782608"
"1","boston college","690","6355","0.021739130434782608"
"1","usc","4428","1086","0.047619047619047616"
"6","usc","4428","4203","0.2857142857142857"
"2","dartmouth","4413","7018","0.07692307692307693"
"1","nebraska","4413","4920","0.038461538461538464"
"1","iowa st.","3517","1337","0.045454545454545456"
"1","northwestern","3517","4904","0.045454545454545456"
"7","dartmouth","3052","3873","0.3333333333333333"
"1","nebraska","3052","4784","0.047619047619047616"
"2","air force","1518","2698","0.07692307692307693"
"1","wofford","1518","634","0.038461538461538464"
"1","texas tech","5355","1626","0.029411764705882353"
"4","kansas st.","5355","2297","0.11764705882352941"
"1","tennessee","5355","1591","0.029411764705882353"
"1","central michigan","4795","1562","0.07692307692307693"
"3","baylor","3083","6238","0.2727272727272727"
"6","oregon","5368","975","0.14285714285714285"
"2","usc","5368","4203","0.047619047619047616"
"4","oregon","5368","2154","0.09523809523809523"
"2","depauw","5146","4525","0.08"
"4","central michigan","5146","3372","0.16"
"1","syracuse","5617","3931","0.0125"
"2","new hampshire","5617","5423","0.025"
"10","miami oh","5617","5586","0.125"
"1","colorado st.","5617","6568","0.0125"
"1","virginia","5617","6355","0.0125"
"1","illinois","5617","6247","0.0125"
"16","william & mary","3355","3671","1.1428571428571428"
"7","uab","6128","746","0.5833333333333334"
"6","clemson","5227","6058","0.17142857142857143"
"2","baylor","5227","6238","0.05714285714285714"
"3","clemson","5227","2086","0.08571428571428572"
"1","kentucky","4990","1072","0.012048192771084338"
"1","kentucky","4990","5276","0.012048192771084338"
"1","kentucky","4990","6432","0.012048192771084338"
"3","kentucky","4990","703","0.03614457831325301"
"1","kentucky","4990","1590","0.012048192771084338"
"1","kentucky","4990","1404","0.012048192771084338"
"1","south carolina","4990","2960","0.012048192771084338"
"5","utah st.","396","5708","0.21739130434782608"
"1","unlv","396","6102","0.043478260869565216"
"1","ucf","2695","3568","0.038461538461538464"
"1","kentucky","2695","4544","0.038461538461538464"
"1","air force","2698","4833","0.041666666666666664"
"7","tennessee","2698","1591","0.2916666666666667"
"1","oregon st.","5780","1056","0.09090909090909091"
"3","eastern michigan","3316","1876","0.125"
"2","pitt","3316","3917","0.08333333333333333"
"1","webber international fl","3337","5639","0.09090909090909091"
"3","north texas","2884","5778","0.3"
"1","california","2401","1735","0.029411764705882353"
"3","california","2401","6241","0.08823529411764706"
"1","oregon","2401","703","0.029411764705882353"
"1","idaho","2287","2287","0.08333333333333333"
"1","southern methodist","4973","2170","0.009009009009009009"
"2","nebraska","4973","4784","0.018018018018018018"
"1","oklahoma","4973","6776","0.009009009009009009"
"2","texas a&m","4973","5728","0.018018018018018018"
"3","oklahoma","4973","1931","0.02702702702702703"
"1","oklahoma","4973","3264","0.009009009009009009"
"1","oklahoma","4973","3887","0.009009009009009009"
"5","oklahoma","4973","6177","0.04504504504504504"
"4","wake forest","3714","859","0.16666666666666666"
"1","northeastern","3714","2214","0.041666666666666664"
"5","texas a&m","5726","6327","0.5"
"2","clemson","2808","599","0.024096385542168676"
"1","tcu","2808","6128","0.012048192771084338"
"1","nc state","2808","99","0.012048192771084338"
"1","oklahoma st.","2808","3223","0.012048192771084338"
"2","arkansas","2808","4709","0.024096385542168676"
"2","clemson","2808","3208","0.024096385542168676"
"1","clemson","2808","6692","0.012048192771084338"
"1","mississippi state","3181","6438","0.041666666666666664"
"2","houston","3181","4834","0.08333333333333333"
"1","ashland","335","4804","0.1111111111111111"
"3","purdue","5922","147","0.07317073170731707"
"1","purdue","5922","816","0.024390243902439025"
