Id,PageRank,CoachName
4751,7.10E-04,oliver bill brother
4685,7.10E-04,nord gary
337,7.10E-04,battle bill
4876,7.06E-04,patterson don
4668,7.04E-04,niumatalolo ken
1330,7.04E-04,creehan dennis denny
217,7.04E-04,babich bob
3937,7.03E-04,mangino mark
5146,7.02E-04,quinn jeff
516,6.99E-04,blackney gary
701,6.96E-04,brooks philip phil
6055,6.95E-04,stock mike
5158,6.89E-04,raetz dennis
3432,6.87E-04,kiffin lane
1217,6.87E-04,connor paul
3079,6.87E-04,hurt ben
1220,6.87E-04,conque clint
4416,6.87E-04,molde alan al
3335,6.87E-04,keasler bobby
3490,6.87E-04,kiser jack
865,6.87E-04,callahan bill
1973,6.87E-04,feminis mike
4395,6.85E-04,mitchell hal
1722,6.84E-04,dubose mike
3874,6.83E-04,lyons robert
4889,6.83E-04,pawlak paul
5510,6.83E-04,salem joe
3123,6.78E-04,isom mike
2627,6.78E-04,harp tom
4990,6.77E-04,phillips joker
4580,6.77E-04,muschamp will
5536,6.77E-04,sarkisian steve
5276,6.75E-04,rhoades rick
6060,6.74E-04,stolz dennis e denny
3551,6.71E-04,kragthorpe steve
3208,6.70E-04,johnson ellis
6367,6.69E-04,triplett dave
2727,6.65E-04,haywood michael
3933,6.60E-04,malzahn gus
204,6.57E-04,austin kent
5155,6.57E-04,radulski tom
4834,6.57E-04,pardee jack
310,6.57E-04,barrett dennis
6771,6.57E-04,wilder bobby
1621,6.57E-04,doba bill
969,6.57E-04,carthel don
5948,6.55E-04,spoo bob
1550,6.54E-04,dempsey rey
107,6.54E-04,amstutz tom
6898,6.52E-04,wolford eric
2070,6.50E-04,foley michael f
810,6.49E-04,burns jerry
6358,6.48E-04,treadwell don
4273,6.48E-04,mcwilliams david
4918,6.47E-04,pees dean
1845,6.46E-04,elliott harold bud
2744,6.46E-04,heckert tom
3585,6.46E-04,labadie ron
2787,6.45E-04,henning dan
4032,6.42E-04,matthews mickey
5150,6.42E-04,quinn steve
6102,6.41E-04,strong jim
4099,6.41E-04,mcclendon charles
4904,6.41E-04,peay francis
3030,6.39E-04,hubbard rudy
6345,6.39E-04,tosches steve
2371,6.35E-04,goff ray
718,6.33E-04,brown don
7025,6.33E-04,zaunbrecher ed
4005,6.33E-04,mason derek
2903,6.32E-04,hoeppner terry
3956,6.32E-04,markam houston
5845,6.32E-04,smith hampton
665,6.31E-04,brewster tim
1870,6.31E-04,emory ed
85,6.31E-04,alley tw
1863,6.29E-04,embree jon
2570,6.23E-04,hamilton paul
4379,6.23E-04,mills jay
677,6.20E-04,briggs kent
1663,6.20E-04,dooley derek
2785,6.17E-04,hennigan mike
3789,6.16E-04,locksley mike
3037,6.09E-04,hudspeth mark
5420,6.07E-04,roof ted
5507,6.07E-04,sadler charlie
177,6.06E-04,arnsparger bill
1046,6.06E-04,chlebek ed
6128,6.05E-04,sullivan pat
1739,6.03E-04,duncan donnie
684,6.02E-04,briles art
5443,6.02E-04,rossley tom
3253,5.97E-04,jones butch
2296,5.97E-04,gibson vance
3373,5.97E-04,kelly chip
1858,5.97E-04,elson david
5414,5.97E-04,roland dennis
1631,5.97E-04,doeren dave
2128,5.97E-04,frank steve
4407,5.97E-04,mixon elmer
1343,5.97E-04,crocket curtis
343,5.97E-04,baughan maxie
5601,5.97E-04,schmidt pete
4977,5.97E-04,peveto bradley dale
3052,5.97E-04,hughes roger
1777,5.97E-04,dykes spike
3260,5.97E-04,jones ernest t
3616,5.97E-04,landis tim
3646,5.97E-04,larue jim
3287,5.97E-04,jones william bill
1506,5.97E-04,daye daryl
3595,5.97E-04,lahar harold w
2510,5.97E-04,guy brent
1589,5.96E-04,dickey darrell
3333,5.94E-04,kearly ted
6438,5.91E-04,valesente bob
2734,5.91E-04,heacock jim
4803,5.91E-04,owens james jim
1559,5.90E-04,depasqua carl a
2465,5.90E-04,griffin bob
1735,5.87E-04,dunbar mike
1966,5.86E-04,fedora larry
3519,5.86E-04,knorr brian
6162,5.83E-04,sweeney edward ed
3805,5.80E-04,loney steve
6178,5.78E-04,sylvester william bill
2989,5.78E-04,horton jeff
1150,5.75E-04,coker larry
2199,5.75E-04,gailey chan
1475,5.73E-04,davis butch
2362,5.72E-04,glueck larry
1776,5.72E-04,dykes sonny
690,5.71E-04,brock dave
2971,5.70E-04,hope danny
6288,5.70E-04,thompson john
4144,5.69E-04,mcdonald bill
6023,5.68E-04,stetson stephen steve
4174,5.67E-04,mcgee garrick
3607,5.67E-04,lambright maxie
1970,5.67E-04,feldman rudy
1590,5.65E-04,dickey daryl
2978,5.65E-04,hopson jay
4293,5.62E-04,mendenhall bronco
4867,5.62E-04,pasqualoni paul
1834,5.60E-04,eliot ray
122,5.59E-04,anderson gary
1144,5.56E-04,coffey charlie
4971,5.55E-04,petrino paul
5120,5.54E-04,pruett bob
4241,5.53E-04,mcmackin greg
6697,5.53E-04,westerman harold
5745,5.53E-04,shoop bob
3197,5.53E-04,johns bobby
5519,5.53E-04,samuel tony
5280,5.52E-04,rhule matt
4451,5.52E-04,moore bud
767,5.51E-04,bryant cleve
2141,5.49E-04,fredenburg pete
6245,5.48E-04,tenuta jon
5984,5.48E-04,stapleton clay
2932,5.48E-04,hollis joe
4699,5.47E-04,novak joe
3962,5.47E-04,marrone doug
2174,5.46E-04,fuente justin
235,5.46E-04,bailey charlie
1810,5.45E-04,edwards earle
1877,5.45E-04,english wally
1564,5.44E-04,deruyter tim
1670,5.43E-04,dorr ray
546,5.41E-04,block king
28,5.40E-04,addazio steve
6783,5.40E-04,williams bobby
3723,5.40E-04,lester roy
2546,5.39E-04,hall galen
2118,5.38E-04,fowler bruce
1187,5.38E-04,collins pat
1588,5.38E-04,dickerson sr ron
3316,5.38E-04,karcher ken
3802,5.38E-04,lombardi tony
2808,5.38E-04,herring reggie
4218,5.38E-04,mckinley james jim
1781,5.38E-04,eargle josh
5903,5.38E-04,snyder chris
4849,5.38E-04,parker willie j
1962,5.37E-04,fazio serafino foge
1573,5.37E-04,devine dan
147,5.36E-04,ankney moe
1280,5.35E-04,coughlin tom
4260,5.34E-04,mcneely brian
800,5.33E-04,burke brian
6247,5.32E-04,tepper lou
3089,5.32E-04,hutchison david
3861,5.32E-04,lyall jim
1302,5.30E-04,craddock bruce
6689,5.30E-04,west lou
6175,5.30E-04,swinney dabo
2322,5.27E-04,gill turner
5349,5.27E-04,roberts steve
